Date,Open,High,Low,Close,Adj Close,Volume
14-Mar-16,"2,019.27","2,024.57","2,012.05","2,019.64","2,019.64","3,487,850,000"
11-Mar-16,"1,994.71","2,022.37","1,994.71","2,022.19","2,022.19","4,078,620,000"
10-Mar-16,"1,990.97","2,005.08","1,969.25","1,989.57","1,989.57","4,376,790,000"
9-Mar-16,"1,981.44","1,992.69","1,979.84","1,989.26","1,989.26","4,038,120,000"
8-Mar-16,"1,996.88","1,996.88","1,977.43","1,979.26","1,979.26","4,641,650,000"
7-Mar-16,"1,996.11","2,006.12","1,989.38","2,001.76","2,001.76","4,968,180,000"
4-Mar-16,"1,994.01","2,009.13","1,986.77","1,999.99","1,999.99","6,049,930,000"
3-Mar-16,"1,985.60","1,993.69","1,977.37","1,993.40","1,993.40","5,081,700,000"
2-Mar-16,"1,976.60","1,986.51","1,968.80","1,986.45","1,986.45","4,666,610,000"
1-Mar-16,"1,937.09","1,978.35","1,937.09","1,978.35","1,978.35","4,819,750,000"
29-Feb-16,"1,947.13","1,958.27","1,931.81","1,932.23","1,932.23","4,588,180,000"
26-Feb-16,"1,954.95","1,962.96","1,945.78","1,948.05","1,948.05","4,348,510,000"
25-Feb-16,"1,931.87","1,951.83","1,925.41","1,951.70","1,951.70","4,118,210,000"
24-Feb-16,"1,917.56","1,932.08","1,891.00","1,929.80","1,929.80","4,317,250,000"
23-Feb-16,"1,942.38","1,942.38","1,919.44","1,921.27","1,921.27","3,890,650,000"
22-Feb-16,"1,924.44","1,946.70","1,924.44","1,945.50","1,945.50","4,054,710,000"
19-Feb-16,"1,916.74","1,918.78","1,902.17","1,917.78","1,917.78","4,142,850,000"
18-Feb-16,"1,927.57","1,930.00","1,915.09","1,917.83","1,917.83","4,436,490,000"
17-Feb-16,"1,898.80","1,930.68","1,898.80","1,926.82","1,926.82","5,011,540,000"
16-Feb-16,"1,871.44","1,895.77","1,871.44","1,895.58","1,895.58","4,570,670,000"
12-Feb-16,"1,833.40","1,864.78","1,833.40","1,864.78","1,864.78","4,696,920,000"
11-Feb-16,"1,847.00","1,847.00","1,810.10","1,829.08","1,829.08","5,500,800,000"
10-Feb-16,"1,857.10","1,881.60","1,850.32","1,851.86","1,851.86","4,471,170,000"
9-Feb-16,"1,848.46","1,868.25","1,834.94","1,852.21","1,852.21","5,183,220,000"
